114.0512.410; ist nicht vorhanden
133.0005.652; ist nicht vorhanden
133.0393.274; ist nicht vorhanden
114.0512.421; ist nicht vorhanden
101.0175.447; ist nicht vorhanden
133.0005.656; ist nicht vorhanden
114.0512.423; ist nicht vorhanden
133.0188.573; ist nicht vorhanden
114.0512.424; ist nicht vorhanden
133.0005.658; ist nicht vorhanden
133.0393.285; ist nicht vorhanden
114.0512.425; ist nicht vorhanden
101.0175.869; ist nicht vorhanden
114.0512.426; ist nicht vorhanden
133.0005.661; ist nicht vorhanden
101.0197.647; ist nicht vorhanden
133.0188.766; ist nicht vorhanden
133.0005.663; ist nicht vorhanden
101.0197.649; ist nicht vorhanden
133.0005.664; ist nicht vorhanden
133.0393.339; ist nicht vorhanden
133.0188.771; ist nicht vorhanden
101.0197.661; ist nicht vorhanden
114.0512.443; ist nicht vorhanden
133.0005.667; ist nicht vorhanden
133.0393.346; ist nicht vorhanden
101.0197.666; ist nicht vorhanden
133.0188.776; ist nicht vorhanden
133.0005.668; ist nicht vorhanden
133.0393.398; ist nicht vorhanden
114.0516.882; ist nicht vorhanden
133.0393.399; ist nicht vorhanden
101.0259.784; ist nicht vorhanden
114.0516.883; ist nicht vorhanden
133.0393.432; ist nicht vorhanden
133.0188.778; ist nicht vorhanden
101.0259.785; ist nicht vorhanden
133.0188.780; ist nicht vorhanden
133.0188.781; ist nicht vorhanden
133.0005.681; ist nicht vorhanden
133.0188.784; ist nicht vorhanden
114.0556.572; ist nicht vorhanden
133.0188.785; ist nicht vorhanden
101.0262.834; ist nicht vorhanden
133.0394.479; ist nicht vorhanden
133.0188.786; ist nicht vorhanden
101.0262.836; ist nicht vorhanden
114.0556.574; ist nicht vorhanden
101.0263.918; ist nicht vorhanden
133.0188.787; ist nicht vorhanden
133.0005.686; ist nicht vorhanden
133.0188.789; ist nicht vorhanden
114.0556.576; ist nicht vorhanden
133.0394.482; ist nicht vorhanden
101.0272.099; ist nicht vorhanden
133.0188.931; ist nicht vorhanden
114.0556.577; ist nicht vorhanden
101.0272.100; ist nicht vorhanden
133.0005.689; ist nicht vorhanden
114.0556.578; ist nicht vorhanden
101.0272.121; ist nicht vorhanden
133.0188.936; ist nicht vorhanden
133.0189.271; ist nicht vorhanden
114.0556.581; ist nicht vorhanden
101.0272.126; ist nicht vorhanden
133.0189.273; ist nicht vorhanden
133.0189.334; ist nicht vorhanden
114.0556.584; ist nicht vorhanden
133.0394.490; ist nicht vorhanden
101.0272.224; ist nicht vorhanden
133.0189.335; ist nicht vorhanden
133.0005.707; ist nicht vorhanden
114.0556.586; ist nicht vorhanden
133.0005.712; ist nicht vorhanden
114.0556.587; ist nicht vorhanden
133.0394.569; ist nicht vorhanden
101.0272.228; ist nicht vorhanden
114.0556.590; ist nicht vorhanden
133.0394.573; ist nicht vorhanden
101.0273.238; ist nicht vorhanden
101.0301.753; ist nicht vorhanden
114.0556.593; ist nicht vorhanden
101.0302.470; ist nicht vorhanden
133.0189.354; ist nicht vorhanden
114.0556.594; ist nicht vorhanden
101.0303.619; ist nicht vorhanden
133.0394.546; ist nicht vorhanden
101.0272.227; ist nicht vorhanden
133.0189.338; ist nicht vorhanden
114.0556.588; ist nicht vorhanden
133.0005.713; ist nicht vorhanden
133.0189.349; ist nicht vorhanden
133.0394.571; ist nicht vorhanden
101.0272.229; ist nicht vorhanden
114.0556.589; ist nicht vorhanden
133.0005.714; ist nicht vorhanden
101.0272.230; ist nicht vorhanden
133.0394.572; ist nicht vorhanden
114.0556.591; ist nicht vorhanden
114.0556.592; ist nicht vorhanden
133.0189.351; ist nicht vorhanden
133.0005.715; ist nicht vorhanden
133.0394.574; ist nicht vorhanden
133.0394.575; ist nicht vorhanden
133.0005.737; ist nicht vorhanden
114.0556.595; ist nicht vorhanden
114.0556.596; ist nicht vorhanden
133.0005.765; ist nicht vorhanden
101.0303.642; ist nicht vorhanden
133.0394.639; ist nicht vorhanden
133.0394.725; ist nicht vorhanden
133.0189.424; ist nicht vorhanden
114.0556.599; ist nicht vorhanden
101.0309.713; ist nicht vorhanden
133.0189.425; ist nicht vorhanden
133.0395.082; ist nicht vorhanden
114.0556.611; ist nicht vorhanden
114.0556.612; ist nicht vorhanden
133.0005.770; ist nicht vorhanden
133.0190.322; ist nicht vorhanden
133.0395.180; ist nicht vorhanden
133.0190.332; ist nicht vorhanden
133.0395.221; ist nicht vorhanden
114.0556.614; ist nicht vorhanden
114.0556.615; ist nicht vorhanden
101.0380.303; ist nicht vorhanden
133.0190.580; ist nicht vorhanden
133.0005.802; ist nicht vorhanden
114.0556.617; ist nicht vorhanden
133.0190.588; ist nicht vorhanden
133.0395.488; ist nicht vorhanden
101.0380.394; ist nicht vorhanden
133.0395.586; ist nicht vorhanden
101.0380.397; ist nicht vorhanden
133.0190.590; ist nicht vorhanden
133.0395.587; ist nicht vorhanden
101.0380.402; ist nicht vorhanden
133.0005.843; ist nicht vorhanden
133.0190.721; ist nicht vorhanden
133.0005.863; ist nicht vorhanden
101.0380.409; ist nicht vorhanden
133.0190.972; ist nicht vorhanden
101.0383.480; ist nicht vorhanden
133.0395.646; ist nicht vorhanden
